"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","PROMPT1","PROMPT2","PROMPT3","PROMPT4"
"1",1342,3,2,4,NA,"1",0,0,1,0
"2",1343,3,2,4,NA,"1",1,0,1,0
"3",1344,3,2,4,NA,"1",0,0,0,0
"4",1345,3,2,4,NA,"1",0,0,1,0
"5",1346,3,2,4,NA,"1",0,0,1,0
"6",1347,3,2,4,NA,"1",0,0,1,0
"7",1348,3,2,4,NA,"1",1,0,1,0
"8",1349,3,2,4,NA,"1",0,0,1,0
"9",1350,3,2,4,NA,"1",0,0,1,0
"10",1351,3,2,4,NA,"1",0,0,1,0
"11",1352,3,2,4,NA,"1",0,0,0,0
"12",1353,3,2,2,NA,"1",0,0,1,0
"13",1354,3,2,2,NA,"1",0,0,1,0
"14",1355,3,2,2,NA,"1",0,0,1,0
"15",1356,3,2,1,NA,"1",0,0,1,0
"16",1357,3,2,4,NA,"1",0,0,1,0
"17",1358,3,2,4,NA,"1",0,0,1,0
"18",1359,3,2,4,NA,"1",0,1,1,1
"19",1360,3,2,4,NA,"1",0,0,1,0
"20",1361,3,2,4,NA,"1",1,0,1,0
"21",1362,3,2,4,NA,"1",0,0,1,1
"22",1363,3,2,4,NA,"1",0,0,1,0
"23",1364,3,2,4,NA,"1",1,0,1,0
"24",1365,3,2,4,NA,"1",1,1,1,0
"25",1366,3,2,4,NA,"1",0,0,1,0
"26",1367,3,2,4,NA,"1",1,0,1,0
"27",1368,3,2,1,NA,"1",0,0,0,0
"28",1369,3,2,4,NA,"1",0,1,1,0
"29",1370,3,2,4,NA,"1",0,0,1,0
"30",1371,3,2,4,NA,"1",0,0,1,0
"31",1372,3,2,4,NA,"1",0,0,1,0
"32",1373,3,2,2,NA,"1",0,0,1,0
"33",1374,3,2,4,NA,"1",0,1,1,1
"34",1375,3,2,4,NA,"1",0,1,1,1
"35",1376,3,2,4,NA,"1",0,1,1,1
"36",1377,3,2,4,NA,"1",0,0,1,1
"37",1378,3,2,1,NA,"1",0,0,1,0
"38",1379,3,2,4,NA,"1",1,1,1,1
"39",1380,3,2,2,NA,"1",0,0,1,0
"40",1381,3,2,4,NA,"1",0,0,1,0
"41",1382,3,2,4,NA,"1",0,0,1,0
"42",1383,3,2,4,NA,"1",0,0,1,0
"43",1384,3,2,4,NA,"1",0,0,0,0
"44",1385,3,2,4,NA,"1",0,0,1,0
"45",1386,3,2,1,NA,"1",0,0,1,0
"46",1387,3,2,4,NA,"1",0,0,1,0
"47",1388,3,2,4,NA,"1",0,0,1,1
"48",1389,3,2,4,NA,"1",0,0,1,0
"49",1390,3,2,2,NA,"1",1,0,1,0
"50",1391,3,2,4,NA,"1",0,0,1,0
"51",1392,3,2,4,NA,"1",0,0,0,0
"52",1393,3,2,4,NA,"1",1,0,1,1
"53",1394,3,2,3,NA,"1",1,0,1,0
"54",1395,3,2,4,NA,"1",0,0,1,0
"55",1396,3,2,4,NA,"1",0,0,1,0
"56",1397,3,2,4,NA,"1",0,0,1,0
"57",1398,3,2,1,NA,"1",0,0,1,0
"58",1399,3,2,4,NA,"1",0,0,1,0
"59",1400,3,2,4,NA,"1",0,0,1,0
"60",1401,3,2,4,NA,"1",0,0,1,0
"61",1402,3,2,4,NA,"1",0,1,1,0
"62",1403,3,2,2,NA,"1",0,0,1,0
"63",1404,3,2,4,NA,"1",0,0,1,0
"64",1405,3,2,4,NA,"1",0,0,0,0
"65",1406,3,2,1,NA,"1",0,0,1,0
"66",1407,3,2,4,NA,"1",1,0,1,0
